Location,Room,Product,Category,PackageID,Batch,CBD,THC,CBDA,CBG,CBN,THCA,CustomerRating,MedicalBenefitsReported,RepeatPurchaseFrequency,URL,Description
Hennep,Sales Floor,Tangerine | 1:1:1 THC:CBD:CBG Gummies 20pk,Gummies,1A40A0300001771000037968,120423TNG100,1.29 mg/g,1.53 mg/g,0.0 mg/g,1.29 mg/g,0.07 mg/g,0.0 mg/g,7,Improved sleep,Often,http://example.com/products/gummies/tangerine-|-1:1:1-thc:cbd:cbg-gummies-20pk,"Introducing our top-rated Tangerine 1:1:1 THC:CBD:CBG Gummies, carefully crafted to deliver a harmonious blend of therapeutic benefits in every bite. With a perfect balance of THC, CBD, and CBG in each delicious gummy, these tantalizing treats are designed to elevate your wellness routine with a touch of citrusy bliss.

Experience the soothing effects of these gummies on your journey to a restful night's sleep. Our customers rave about the results"
Hennep,Sales Floor,S'mores | Milk Chocolate Bar 20pk,ChocolateBar,1A40A0300001771000037569,081623SMCB100,0.0 mg/g,2.12 mg/g,0.0 mg/g,0.1 mg/g,0.05 mg/g,0.0 mg/g,4,Anxiety reduction,Rarely,http://example.com/products/chocolatebar/s'mores-|-milk-chocolate-bar-20pk,"Indulge in the creamy goodness of our S'mores | Milk Chocolate Bar 20pk, the perfect treat for those craving a decadent experience. Made with premium quality milk chocolate, each bar is meticulously crafted to deliver a rich and satisfying flavor that will melt in your mouth with every bite.

Not only does our S'mores | Milk Chocolate Bar offer a delicious taste sensation, but it also provides potential medical benefits by helping to reduce anxiety. So, whether you need a sweet pick-me-up"
Hennep,Sales Floor,Pax Era Life | Blaze |,Accessory,28,,,,,,,,8,Seizure control,Rarely,http://example.com/products/accessory/pax-era-life-|-blaze-|,"Introducing the revolutionary Pax Era Life | Blaze |, the ultimate accessory for modern individuals seeking top-notch seizure control in a sleek and convenient package. This cutting-edge product boasts a stellar Customer Rating of 8, reflecting the high satisfaction level among users who have experienced its life-changing benefits. 

Crafted with precision and innovation, the Pax Era Life | Blaze | is designed for rare purchase frequencies, making it a coveted and esteemed addition to your wellness toolkit. With its advanced technology and medical-grade quality,"
Hennep,Sales Floor,Pax Era Pro | Black |,Accessory,8.40E+11,,,,,,,,5,Nausea relief,Often,http://example.com/products/accessory/pax-era-pro-|-black-|,"Introducing the Pax Era Pro | Black |, the ultimate accessory that combines sleek design with practicality, perfect for those seeking relief from nausea. With a 5-star customer rating and a purchase frequency that is often, this product is a must-have for anyone looking for a stylish and effective solution.

Crafted with precision and attention to detail, the Pax Era Pro in black offers a seamless vaping experience, making your relief from nausea quick and convenient. The cutting-edge technology of this accessory ensures optimal performance"
Hennep,Sales Floor,Pax Era Pro | Gray |,Accessory,8.40E+11,,,,,,,,7,Pain relief,Never,http://example.com/products/accessory/pax-era-pro-|-gray-|,"Introducing the Pax Era Pro in sleek Gray - the ultimate accessory for enhanced pain relief. Elevate your vaping experience with cutting-edge technology and unparalleled convenience. 

Crafted for the modern connoisseur, the Pax Era Pro is designed to deliver relief precisely when you need it. With a focus on pain relief, this accessory is a game-changer for those seeking holistic wellness solutions. 

Featuring a glowing Customer Rating of 7, the Pax Era Pro has garnered praise for its sleek design,"
Hennep,Sales Floor,Pax Era Pro | Sapphire |,Accessory,34,,,,,,,,10,Appetite stimulation,Never,http://example.com/products/accessory/pax-era-pro-|-sapphire-|,"Introducing the Pax Era Pro in enchanting Sapphire - the perfect companion for your vaping experience. Elevate your sessions with this sleek and advanced accessory designed for supreme functionality and style.

Crafted with precision, the Pax Era Pro in Sapphire boasts a superb Customer Rating of 10, ensuring top-notch quality and user satisfaction. Seamlessly integrated technology allows for precise temperature control, ensuring a personalized vaping experience tailored to your preferences. The sleek, portable design makes it the perfect on-the-go companion for all your"
Hennep,Sales Floor,Pax 3 Smart Complete | Sage,Accessory,41,,,,,,,,3,Improved sleep,Rarely,http://example.com/products/accessory/pax-3-smart-complete-|-sage,"Introducing the Pax 3 Smart Complete in the sophisticated Sage color, the must-have accessory for those seeking improved sleep and relaxation. This sleek and innovative product offers a unique blend of style and functionality, making it a standout choice in the world of wellness accessories.

Designed with your well-being in mind, the Pax 3 Smart Complete is crafted to enhance your sleep quality and help you unwind after a long day. Whether you struggle with restlessness or simply want to create a more tranquil bedtime routine, this"
Hennep,Sales Floor,Daily Drops | Sunrise Punch (50mL),Tincture,1A40A0300004A9D000014711,DD 9.6.23,0.00%,1.01%,0.0 mg/g,0.19%,0.06 mg/g,0.15 mg/g,7,Anxiety reduction,Rarely,http://example.com/products/tincture/daily-drops-|-sunrise-punch-(50ml),"Introducing Daily Drops | Sunrise Punch (50mL) - a soothing tincture specially crafted to brighten your day and ease your mind. This delightful blend offers a refreshing touch of Sunrise Punch flavor while providing effective relief from anxiety.

Formulated with care and precision, this tincture is designed to help you find calm and balance in the midst of life's challenges. The harmonious combination of natural ingredients works seamlessly to promote relaxation and reduce feelings of stress and tension.

With a customer rating"
Hennep,Sales Floor,Dream Drops | Bedtime Bliss (60mL),Tincture,1A40A0300004A9D000014920,ZD 9.12.23,0.00%,0.54%,0.0 mg/g,0.01%,1.72 mg/g,0.07 mg/g,8,Improved sleep,Never,http://example.com/products/tincture/dream-drops-|-bedtime-bliss-(60ml),"Introducing Dream Drops | Bedtime Bliss, the ultimate solution for a restful night's sleep. This 60mL tincture is carefully crafted to promote improved sleep, so you can wake up feeling refreshed and rejuvenated every morning.

Formulated with premium ingredients, Dream Drops | Bedtime Bliss offers a natural and effective way to enhance your bedtime routine. Simply take a few drops before bed and let the soothing blend work its magic as you drift off into a peaceful slumber.

With a"
Hennep,Sales Floor,Dosi Woah | Pre-Roll | 1g,Pre-Roll,1A40A0100001AF5000067063,H9.5.23F10B4R5S7.8,0.00%,24.58%,0.00%,0.59%,0.00%,24.30%,5,Reduced inflammation,Often,http://example.com/products/pre-roll/dosi-woah-|-pre-roll-|-1g,"Introducing Dosi Woah Pre-Roll, the ultimate choice for those seeking a premium cannabis experience. This meticulously crafted 1g pre-roll offers a perfect blend of quality and convenience, ensuring a smooth and enjoyable smoke every time.

With a high Customer Rating of 5, it's no surprise that this pre-roll is quickly becoming a favorite among cannabis enthusiasts. And with a Purchase Frequency of Often, it's clear that customers keep coming back for more.

Not only does Dosi Woah deliver"
